Archivo,X_Min,X_Max,Y_Min,Y_Max
PNOA_2024_AND_335-4195_H30_NPC01.laz,335000.0,336000.0,4194000.0,4195000.0
PNOA_2024_AND_335-4196_H30_NPC01.laz,335000.0,336000.0,4195000.0,4196000.0
PNOA_2024_AND_335-4197_H30_NPC01.laz,335000.0,336000.0,4196000.0,4197000.0
PNOA_2024_AND_335-4198_H30_NPC01.laz,335000.0,336000.0,4197000.0,4198000.0
PNOA_2024_AND_336-4195_H30_NPC01.laz,336000.0,337000.0,4194000.0,4195000.0
PNOA_2024_AND_336-4196_H30_NPC01.laz,336000.0,337000.0,4195000.0,4196000.0
PNOA_2024_AND_336-4197_H30_NPC01.laz,336000.0,337000.0,4196000.0,4197000.0
PNOA_2024_AND_336-4198_H30_NPC01.laz,336000.0,337000.0,4197000.0,4198000.0
PNOA_2024_AND_336-4199_H30_NPC01.laz,336000.0,337000.0,4198000.0,4199000.0
PNOA_2024_AND_337-4195_H30_NPC01.laz,337000.0,338000.0,4194000.0,4195000.0
PNOA_2024_AND_337-4196_H30_NPC01.laz,337000.0,338000.0,4195000.0,4196000.0
PNOA_2024_AND_337-4197_H30_NPC01.laz,337000.0,338000.0,4196000.0,4197000.0
PNOA_2024_AND_337-4198_H30_NPC01.laz,337000.0,338000.0,4197000.0,4198000.0
PNOA_2024_AND_337-4199_H30_NPC01.laz,337000.0,338000.0,4198000.0,4199000.0
PNOA_2024_AND_338-4195_H30_NPC01.laz,338000.0,339000.0,4194000.0,4195000.0
PNOA_2024_AND_338-4196_H30_NPC01.laz,338000.0,339000.0,4195000.0,4196000.0
PNOA_2024_AND_338-4197_H30_NPC01.laz,338000.0,339000.0,4196000.0,4197000.0
PNOA_2024_AND_338-4198_H30_NPC01.laz,338000.0,339000.0,4197000.0,4198000.0
PNOA_2024_AND_338-4199_H30_NPC01.laz,338000.0,339000.0,4198000.0,4199000.0
PNOA_2024_AND_338-4200_H30_NPC01.laz,338000.0,339000.0,4199000.0,4200000.0
PNOA_2024_AND_339-4194_H30_NPC01.laz,339000.0,340000.0,4193000.0,4194000.0
PNOA_2024_AND_339-4195_H30_NPC01.laz,339000.0,340000.0,4194000.0,4195000.0
PNOA_2024_AND_339-4196_H30_NPC01.laz,339000.0,340000.0,4195000.0,4196000.0
PNOA_2024_AND_339-4197_H30_NPC01.laz,339000.0,340000.0,4196000.0,4197000.0
PNOA_2024_AND_339-4198_H30_NPC01.laz,339000.0,340000.0,4197000.0,4198000.0
PNOA_2024_AND_339-4199_H30_NPC01.laz,339000.0,340000.0,4198000.0,4199000.0
PNOA_2024_AND_339-4200_H30_NPC01.laz,339000.0,340000.0,4199000.0,4200000.0
PNOA_2024_AND_339-4201_H30_NPC01.laz,339000.0,340000.0,4200000.0,4201000.0
PNOA_2024_AND_340-4194_H30_NPC01.laz,340000.0,341000.0,4193000.0,4194000.0
PNOA_2024_AND_340-4195_H30_NPC01.laz,340000.0,341000.0,4194000.0,4195000.0
PNOA_2024_AND_340-4196_H30_NPC01.laz,340000.0,341000.0,4195000.0,4196000.0
PNOA_2024_AND_340-4197_H30_NPC01.laz,340000.0,341000.0,4196000.0,4197000.0
PNOA_2024_AND_340-4198_H30_NPC01.laz,340000.0,341000.0,4197000.0,4198000.0
PNOA_2024_AND_340-4199_H30_NPC01.laz,340000.0,341000.0,4198000.0,4199000.0
PNOA_2024_AND_340-4200_H30_NPC01.laz,340000.0,341000.0,4199000.0,4200000.0
PNOA_2024_AND_340-4201_H30_NPC01.laz,340000.0,341000.0,4200000.0,4201000.0
PNOA_2024_AND_341-4192_H30_NPC01.laz,341000.0,342000.0,4191000.0,4192000.0
PNOA_2024_AND_341-4193_H30_NPC01.laz,341000.0,342000.0,4192000.0,4193000.0
PNOA_2024_AND_341-4194_H30_NPC01.laz,341000.0,342000.0,4193000.0,4194000.0
PNOA_2024_AND_341-4195_H30_NPC01.laz,341000.0,342000.0,4194000.0,4195000.0
PNOA_2024_AND_341-4196_H30_NPC01.laz,341000.0,342000.0,4195000.0,4196000.0
PNOA_2024_AND_341-4197_H30_NPC01.laz,341000.0,342000.0,4196000.0,4197000.0
PNOA_2024_AND_341-4198_H30_NPC01.laz,341000.0,342000.0,4197000.0,4198000.0
PNOA_2024_AND_341-4199_H30_NPC01.laz,341000.0,342000.0,4198000.0,4199000.0
PNOA_2024_AND_341-4200_H30_NPC01.laz,341000.0,342000.0,4199000.0,4200000.0
PNOA_2024_AND_341-4201_H30_NPC01.laz,341000.0,342000.0,4200000.0,4201000.0
PNOA_2024_AND_341-4202_H30_NPC01.laz,341000.0,342000.0,4201000.0,4202000.0
PNOA_2024_AND_342-4192_H30_NPC01.laz,342000.0,343000.0,4191000.0,4192000.0
PNOA_2024_AND_342-4193_H30_NPC01.laz,342000.0,343000.0,4192000.0,4193000.0
PNOA_2024_AND_342-4194_H30_NPC01.laz,342000.0,343000.0,4193000.0,4194000.0
PNOA_2024_AND_342-4195_H30_NPC01.laz,342000.0,343000.0,4194000.0,4195000.0
PNOA_2024_AND_342-4196_H30_NPC01.laz,342000.0,343000.0,4195000.0,4196000.0
PNOA_2024_AND_342-4197_H30_NPC01.laz,342000.0,343000.0,4196000.0,4197000.0
PNOA_2024_AND_342-4198_H30_NPC01.laz,342000.0,343000.0,4197000.0,4198000.0
PNOA_2024_AND_342-4199_H30_NPC01.laz,342000.0,343000.0,4198000.0,4199000.0
PNOA_2024_AND_342-4200_H30_NPC01.laz,342000.0,343000.0,4199000.0,4200000.0
PNOA_2024_AND_342-4201_H30_NPC01.laz,342000.0,343000.0,4200000.0,4201000.0
PNOA_2024_AND_342-4202_H30_NPC01.laz,342000.0,343000.0,4201000.0,4202000.0
PNOA_2024_AND_343-4192_H30_NPC01.laz,343000.0,344000.0,4191000.0,4192000.0
PNOA_2024_AND_343-4193_H30_NPC01.copc.laz,343000.0,344000.0,4192000.0,4193000.0
PNOA_2024_AND_343-4193_H30_NPC01.laz,343000.0,344000.0,4192000.0,4193000.0
PNOA_2024_AND_343-4194_H30_NPC01.laz,343000.0,344000.0,4193000.0,4194000.0
PNOA_2024_AND_343-4195_H30_NPC01.laz,343000.0,344000.0,4194000.0,4195000.0
PNOA_2024_AND_343-4196_H30_NPC01.laz,343000.0,344000.0,4195000.0,4196000.0
PNOA_2024_AND_343-4197_H30_NPC01.laz,343000.0,344000.0,4196000.0,4197000.0
PNOA_2024_AND_343-4198_H30_NPC01.laz,343000.0,344000.0,4197000.0,4198000.0
PNOA_2024_AND_343-4199_H30_NPC01.laz,343000.0,344000.0,4198000.0,4199000.0
PNOA_2024_AND_343-4200_H30_NPC01.laz,343000.0,344000.0,4199000.0,4200000.0
PNOA_2024_AND_343-4201_H30_NPC01.laz,343000.0,344000.0,4200000.0,4201000.0
PNOA_2024_AND_343-4202_H30_NPC01.laz,343000.0,344000.0,4201000.0,4202000.0
PNOA_2024_AND_344-4192_H30_NPC01.laz,344000.0,345000.0,4191000.0,4192000.0
PNOA_2024_AND_344-4193_H30_NPC01.laz,344000.0,345000.0,4192000.0,4193000.0
PNOA_2024_AND_344-4194_H30_NPC01.laz,344000.0,345000.0,4193000.0,4194000.0
PNOA_2024_AND_344-4195_H30_NPC01.laz,344000.0,345000.0,4194000.0,4195000.0
PNOA_2024_AND_344-4196_H30_NPC01.laz,344000.0,345000.0,4195000.0,4196000.0
PNOA_2024_AND_344-4197_H30_NPC01.laz,344000.0,345000.0,4196000.0,4197000.0
PNOA_2024_AND_344-4198_H30_NPC01.laz,344000.0,345000.0,4197000.0,4198000.0
PNOA_2024_AND_344-4199_H30_NPC01.laz,344000.0,345000.0,4198000.0,4199000.0
PNOA_2024_AND_344-4200_H30_NPC01.laz,344000.0,345000.0,4199000.0,4200000.0
PNOA_2024_AND_344-4201_H30_NPC01.laz,344000.0,345000.0,4200000.0,4201000.0
PNOA_2024_AND_344-4202_H30_NPC01.laz,344000.0,345000.0,4201000.0,4202000.0
PNOA_2024_AND_345-4192_H30_NPC01.laz,345000.0,346000.0,4191000.0,4192000.0
PNOA_2024_AND_345-4193_H30_NPC01.laz,345000.0,346000.0,4192000.0,4193000.0
PNOA_2024_AND_345-4194_H30_NPC01.laz,345000.0,346000.0,4193000.0,4194000.0
PNOA_2024_AND_345-4195_H30_NPC01.laz,345000.0,346000.0,4194000.0,4195000.0
PNOA_2024_AND_345-4196_H30_NPC01.laz,345000.0,346000.0,4195000.0,4196000.0
PNOA_2024_AND_345-4197_H30_NPC01.laz,345000.0,346000.0,4196000.0,4197000.0
PNOA_2024_AND_345-4198_H30_NPC01.laz,345000.0,346000.0,4197000.0,4198000.0
PNOA_2024_AND_345-4199_H30_NPC01.laz,345000.0,346000.0,4198000.0,4199000.0
PNOA_2024_AND_345-4200_H30_NPC01.laz,345000.0,346000.0,4199000.0,4200000.0
PNOA_2024_AND_345-4201_H30_NPC01.laz,345000.0,346000.0,4200000.0,4201000.0
PNOA_2024_AND_346-4192_H30_NPC01.laz,346000.0,347000.0,4191000.0,4192000.0
PNOA_2024_AND_346-4193_H30_NPC01.laz,346000.0,347000.0,4192000.0,4193000.0
PNOA_2024_AND_346-4194_H30_NPC01.laz,346000.0,347000.0,4193000.0,4194000.0
PNOA_2024_AND_346-4195_H30_NPC01.laz,346000.0,347000.0,4194000.0,4195000.0
PNOA_2024_AND_346-4196_H30_NPC01.laz,346000.0,347000.0,4195000.0,4196000.0
PNOA_2024_AND_346-4197_H30_NPC01.laz,346000.0,347000.0,4196000.0,4197000.0
PNOA_2024_AND_346-4198_H30_NPC01.laz,346000.0,347000.0,4197000.0,4198000.0
PNOA_2024_AND_346-4199_H30_NPC01.laz,346000.0,347000.0,4198000.0,4199000.0
PNOA_2024_AND_346-4200_H30_NPC01.laz,346000.0,347000.0,4199000.0,4200000.0
PNOA_2024_AND_346-4201_H30_NPC01.laz,346000.0,347000.0,4200000.0,4201000.0
PNOA_2024_AND_347-4192_H30_NPC01.laz,347000.0,348000.0,4191000.0,4192000.0
PNOA_2024_AND_347-4193_H30_NPC01.laz,347000.0,348000.0,4192000.0,4193000.0
PNOA_2024_AND_347-4194_H30_NPC01.laz,347000.0,348000.0,4193000.0,4194000.0
PNOA_2024_AND_347-4195_H30_NPC01.laz,347000.0,348000.0,4194000.0,4195000.0
PNOA_2024_AND_347-4196_H30_NPC01.laz,347000.0,348000.0,4195000.0,4196000.0
PNOA_2024_AND_347-4197_H30_NPC01.laz,347000.0,348000.0,4196000.0,4197000.0
PNOA_2024_AND_347-4198_H30_NPC01.laz,347000.0,348000.0,4197000.0,4198000.0
PNOA_2024_AND_347-4199_H30_NPC01.laz,347000.0,348000.0,4198000.0,4199000.0
PNOA_2024_AND_347-4200_H30_NPC01.laz,347000.0,348000.0,4199000.0,4200000.0
PNOA_2024_AND_347-4201_H30_NPC01.laz,347000.0,348000.0,4200000.0,4201000.0
PNOA_2024_AND_348-4193_H30_NPC01.laz,348000.0,349000.0,4192000.0,4193000.0
PNOA_2024_AND_348-4194_H30_NPC01.laz,348000.0,349000.0,4193000.0,4194000.0
PNOA_2024_AND_348-4195_H30_NPC01.laz,348000.0,349000.0,4194000.0,4195000.0
PNOA_2024_AND_348-4196_H30_NPC01.laz,348000.0,349000.0,4195000.0,4196000.0
PNOA_2024_AND_348-4197_H30_NPC01.laz,348000.0,349000.0,4196000.0,4197000.0
PNOA_2024_AND_348-4198_H30_NPC01.laz,348000.0,349000.0,4197000.0,4198000.0
PNOA_2024_AND_348-4199_H30_NPC01.laz,348000.0,349000.0,4198000.0,4199000.0
PNOA_2024_AND_348-4200_H30_NPC01.laz,348000.0,349000.0,4199000.0,4200000.0
PNOA_2024_AND_349-4193_H30_NPC01.laz,349000.0,350000.0,4192000.0,4193000.0
PNOA_2024_AND_349-4194_H30_NPC01.laz,349000.0,350000.0,4193000.0,4194000.0
PNOA_2024_AND_349-4195_H30_NPC01.laz,349000.0,350000.0,4194000.0,4195000.0
PNOA_2024_AND_349-4196_H30_NPC01.laz,349000.0,350000.0,4195000.0,4196000.0
PNOA_2024_AND_349-4197_H30_NPC01.laz,349000.0,350000.0,4196000.0,4197000.0
PNOA_2024_AND_349-4198_H30_NPC01.laz,349000.0,350000.0,4197000.0,4198000.0
PNOA_2024_AND_349-4199_H30_NPC01.laz,349000.0,350000.0,4198000.0,4199000.0
PNOA_2024_AND_350-4194_H30_NPC01.laz,350000.0,351000.0,4193000.0,4194000.0
PNOA_2024_AND_350-4195_H30_NPC01.laz,350000.0,351000.0,4194000.0,4195000.0
PNOA_2024_AND_350-4196_H30_NPC01.laz,350000.0,351000.0,4195000.0,4196000.0
PNOA_2024_AND_350-4197_H30_NPC01.laz,350000.0,351000.0,4196000.0,4197000.0
PNOA_2024_AND_351-4195_H30_NPC01.laz,351000.0,352000.0,4194000.0,4195000.0
