Fecha y hora,Azimut,Altitud,Observer_X,Observer_Y
2026-08-12 19:00:00,"+270°12'42.8""","+25°11'31.4""",343562.32,4193943.513
2026-08-12 19:01:00,"+270°21'20.9""","+24°59'53.9""",343563.484,4193943.174
2026-08-12 19:02:00,"+270°29'58.1""","+24°48'16.5""",343564.664,4193942.83
2026-08-12 19:03:00,"+270°38'34.6""","+24°36'39.2""",343565.861,4193942.481
2026-08-12 19:04:00,"+270°47'10.3""","+24°25'01.9""",343567.074,4193942.126
2026-08-12 19:05:00,"+270°55'45.3""","+24°13'24.7""",343568.305,4193941.765
2026-08-12 19:06:00,"+271°04'19.5""","+24°01'47.6""",343569.553,4193941.398
2026-08-12 19:07:00,"+271°12'53.0""","+23°50'10.6""",343570.819,4193941.025
2026-08-12 19:08:00,"+271°21'25.8""","+23°38'33.7""",343572.103,4193940.645
2026-08-12 19:09:00,"+271°29'57.9""","+23°26'56.8""",343573.407,4193940.259
2026-08-12 19:10:00,"+271°38'29.3""","+23°15'20.0""",343574.73,4193939.867
2026-08-12 19:11:00,"+271°47'00.1""","+23°03'43.4""",343576.072,4193939.468
2026-08-12 19:12:00,"+271°55'30.3""","+22°52'06.9""",343577.435,4193939.061
2026-08-12 19:13:00,"+272°03'59.8""","+22°40'30.4""",343578.819,4193938.648
2026-08-12 19:14:00,"+272°12'28.6""","+22°28'54.1""",343580.225,4193938.227
2026-08-12 19:15:00,"+272°20'56.9""","+22°17'17.9""",343581.652,4193937.799
2026-08-12 19:16:00,"+272°29'24.6""","+22°05'41.8""",343583.102,4193937.364
2026-08-12 19:17:00,"+272°37'51.7""","+21°54'05.9""",343584.574,4193936.92
2026-08-12 19:18:00,"+272°46'18.3""","+21°42'30.1""",343586.071,4193936.468
2026-08-12 19:19:00,"+272°54'44.3""","+21°30'54.4""",343587.592,4193936.008
2026-08-12 19:20:00,"+273°03'09.7""","+21°19'18.8""",343589.138,4193935.54
2026-08-12 19:21:00,"+273°11'34.7""","+21°07'43.4""",343590.709,4193935.063
2026-08-12 19:22:00,"+273°19'59.1""","+20°56'08.2""",343592.306,4193934.577
2026-08-12 19:23:00,"+273°28'23.0""","+20°44'33.1""",343593.931,4193934.081
2026-08-12 19:24:00,"+273°36'46.5""","+20°32'58.2""",343595.583,4193933.576
2026-08-12 19:25:00,"+273°45'09.5""","+20°21'23.4""",343597.264,4193933.062
2026-08-12 19:26:00,"+273°53'32.0""","+20°09'48.9""",343598.974,4193932.538
2026-08-12 19:27:00,"+274°01'54.1""","+19°58'14.4""",343600.715,4193932.003
2026-08-12 19:28:00,"+274°10'15.7""","+19°46'40.2""",343602.486,4193931.458
2026-08-12 19:29:00,"+274°18'37.0""","+19°35'06.2""",343604.29,4193930.901
2026-08-12 19:30:00,"+274°26'57.8""","+19°23'32.3""",343606.126,4193930.334
2026-08-12 19:31:00,"+274°35'18.2""","+19°11'58.6""",343607.996,4193929.755
2026-08-12 19:32:00,"+274°43'38.3""","+19°00'25.2""",343609.9,4193929.165
2026-08-12 19:33:00,"+274°51'58.0""","+18°48'51.9""",343611.841,4193928.562
2026-08-12 19:34:00,"+275°00'17.3""","+18°37'18.8""",343613.819,4193927.946
2026-08-12 19:35:00,"+275°08'36.3""","+18°25'46.0""",343615.834,4193927.318
2026-08-12 19:36:00,"+275°16'55.0""","+18°14'13.3""",343617.889,4193926.676
2026-08-12 19:37:00,"+275°25'13.3""","+18°02'40.9""",343619.985,4193926.02
2026-08-12 19:38:00,"+275°33'31.4""","+17°51'08.7""",343622.122,4193925.351
2026-08-12 19:39:00,"+275°41'49.1""","+17°39'36.8""",343624.302,4193924.666
2026-08-12 19:40:00,"+275°50'06.6""","+17°28'05.0""",343626.526,4193923.967
2026-08-12 19:41:00,"+275°58'23.8""","+17°16'33.6""",343628.796,4193923.252
2026-08-12 19:42:00,"+276°06'40.7""","+17°05'02.3""",343631.114,4193922.52
2026-08-12 19:43:00,"+276°14'57.4""","+16°53'31.3""",343633.481,4193921.773
2026-08-12 19:44:00,"+276°23'13.8""","+16°42'00.6""",343635.898,4193921.007
2026-08-12 19:45:00,"+276°31'30.1""","+16°30'30.1""",343638.368,4193920.224
2026-08-12 19:46:00,"+276°39'46.1""","+16°19'00.0""",343640.891,4193919.423
2026-08-12 19:47:00,"+276°48'01.9""","+16°07'30.0""",343643.471,4193918.603
2026-08-12 19:48:00,"+276°56'17.5""","+15°56'00.4""",343646.109,4193917.763
2026-08-12 19:49:00,"+277°04'33.0""","+15°44'31.0""",343648.807,4193916.902
2026-08-12 19:50:00,"+277°12'48.2""","+15°33'01.9""",343651.567,4193916.02
2026-08-12 19:51:00,"+277°21'03.4""","+15°21'33.1""",343654.391,4193915.117
2026-08-12 19:52:00,"+277°29'18.4""","+15°10'04.6""",343657.282,4193914.19
2026-08-12 19:53:00,"+277°37'33.2""","+14°58'36.4""",343660.243,4193913.24
2026-08-12 19:54:00,"+277°45'48.0""","+14°47'08.6""",343663.275,4193912.266
2026-08-12 19:55:00,"+277°54'02.6""","+14°35'41.0""",343666.382,4193911.266
2026-08-12 19:56:00,"+278°02'17.1""","+14°24'13.8""",343669.566,4193910.239
2026-08-12 19:57:00,"+278°10'31.6""","+14°12'46.9""",343672.831,4193909.186
2026-08-12 19:58:00,"+278°18'45.9""","+14°01'20.3""",343676.18,4193908.103
2026-08-12 19:59:00,"+278°27'00.2""","+13°49'54.1""",343679.616,4193906.991
2026-08-12 20:00:00,"+278°35'14.5""","+13°38'28.2""",343683.143,4193905.848
2026-08-12 20:01:00,"+278°43'28.7""","+13°27'02.6""",343686.764,4193904.673
2026-08-12 20:02:00,"+278°51'42.9""","+13°15'37.4""",343690.484,4193903.465
2026-08-12 20:03:00,"+278°59'57.0""","+13°04'12.6""",343694.306,4193902.221
2026-08-12 20:04:00,"+279°08'11.2""","+12°52'48.2""",343698.234,4193900.941
2026-08-12 20:05:00,"+279°16'25.4""","+12°41'24.1""",343702.275,4193899.623
2026-08-12 20:06:00,"+279°24'39.5""","+12°30'00.4""",343706.433,4193898.265
2026-08-12 20:07:00,"+279°32'53.7""","+12°18'37.1""",343710.712,4193896.866
2026-08-12 20:08:00,"+279°41'07.9""","+12°07'14.2""",343715.119,4193895.423
2026-08-12 20:09:00,"+279°49'22.2""","+11°55'51.8""",343719.658,4193893.935
2026-08-12 20:10:00,"+279°57'36.5""","+11°44'29.7""",343724.338,4193892.399
2026-08-12 20:11:00,"+280°05'50.9""","+11°33'08.1""",343729.164,4193890.813
2026-08-12 20:12:00,"+280°14'05.4""","+11°21'46.9""",343734.143,4193889.175
2026-08-12 20:13:00,"+280°22'19.9""","+11°10'26.2""",343739.283,4193887.483
2026-08-12 20:14:00,"+280°30'34.5""","+10°59'05.9""",343744.592,4193885.732
2026-08-12 20:15:00,"+280°38'49.3""","+10°47'46.1""",343750.078,4193883.921
2026-08-12 20:16:00,"+280°47'04.1""","+10°36'26.7""",343755.752,4193882.046
2026-08-12 20:17:00,"+280°55'19.1""","+10°25'07.9""",343761.621,4193880.104
2026-08-12 20:18:00,"+281°03'34.2""","+10°13'49.5""",343767.699,4193878.092
2026-08-12 20:19:00,"+281°11'49.5""","+10°02'31.7""",343773.993,4193876.005
2026-08-12 20:20:00,"+281°20'04.9""","+9°51'14.3""",343780.52,4193873.839
2026-08-12 20:21:00,"+281°28'20.5""","+9°39'57.5""",343787.29,4193871.59
2026-08-12 20:22:00,"+281°36'36.3""","+9°28'41.3""",343794.316,4193869.252
2026-08-12 20:23:00,"+281°44'52.2""","+9°17'25.5""",343801.618,4193866.822
2026-08-12 20:24:00,"+281°53'08.4""","+9°06'10.4""",343809.207,4193864.293
2026-08-12 20:25:00,"+282°01'24.7""","+8°54'55.8""",343817.104,4193861.659
2026-08-12 20:26:00,"+282°09'41.3""","+8°43'41.9""",343825.325,4193858.914
2026-08-12 20:27:00,"+282°17'58.1""","+8°32'28.5""",343833.895,4193856.05
2026-08-12 20:28:00,"+282°26'15.1""","+8°21'15.8""",343842.834,4193853.059
2026-08-12 20:29:00,"+282°34'32.4""","+8°10'03.8""",343852.165,4193849.935
2026-08-12 20:30:00,"+282°42'50.0""","+7°58'52.4""",343861.918,4193846.666
2026-08-12 20:31:00,"+282°51'07.8""","+7°47'41.7""",343872.12,4193843.243
2026-08-12 20:32:00,"+282°59'25.9""","+7°36'31.7""",343882.804,4193839.656
2026-08-12 20:33:00,"+283°07'44.3""","+7°25'22.4""",343894.006,4193835.892
2026-08-12 20:34:00,"+283°16'02.9""","+7°14'13.9""",343905.762,4193831.938
2026-08-12 20:35:00,"+283°24'21.9""","+7°03'06.1""",343918.116,4193827.779
2026-08-12 20:36:00,"+283°32'41.2""","+6°51'59.2""",343931.113,4193823.4
2026-08-12 20:37:00,"+283°41'00.8""","+6°40'53.1""",343944.807,4193818.782
2026-08-12 20:38:00,"+283°49'20.8""","+6°29'47.9""",343959.252,4193813.906
2026-08-12 20:39:00,"+283°57'41.1""","+6°18'43.5""",343974.517,4193808.75
2026-08-12 20:40:00,"+284°06'01.8""","+6°07'40.1""",343990.668,4193803.29
2026-08-12 20:41:00,"+284°14'22.8""","+5°56'37.7""",344007.786,4193797.499
2026-08-12 20:42:00,"+284°22'44.3""","+5°45'36.3""",344025.96,4193791.345
2026-08-12 20:43:00,"+284°31'06.1""","+5°34'35.9""",344045.293,4193784.793
2026-08-12 20:44:00,"+284°39'28.3""","+5°23'36.6""",344065.896,4193777.806
2026-08-12 20:45:00,"+284°47'50.9""","+5°12'38.5""",344087.896,4193770.339
2026-08-12 20:46:00,"+284°56'13.9""","+5°01'41.5""",344111.446,4193762.341
2026-08-12 20:47:00,"+285°04'37.3""","+4°50'45.9""",344136.702,4193753.756
2026-08-12 20:48:00,"+285°13'01.2""","+4°39'51.6""",344163.864,4193744.516
2026-08-12 20:49:00,"+285°21'25.6""","+4°28'58.6""",344193.156,4193734.543
2026-08-12 20:50:00,"+285°29'50.3""","+4°18'07.2""",344224.826,4193723.754
2026-08-12 20:51:00,"+285°38'15.6""","+4°07'17.3""",344259.182,4193712.041
2026-08-12 20:52:00,"+285°46'41.3""","+3°56'29.1""",344296.569,4193699.284
2026-08-12 20:53:00,"+285°55'07.5""","+3°45'42.6""",344337.409,4193685.339
2026-08-12 20:54:00,"+286°03'34.2""","+3°34'58.0""",344382.191,4193670.037
2026-08-12 20:55:00,"+286°12'01.4""","+3°24'15.4""",344431.507,4193653.173
2026-08-12 20:56:00,"+286°20'29.2""","+3°13'35.0""",344486.066,4193634.502
2026-08-12 20:57:00,"+286°28'57.4""","+3°02'56.8""",344546.754,4193613.719
2026-08-12 20:58:00,"+286°37'26.2""","+2°52'21.0""",344614.642,4193590.453
2026-08-12 20:59:00,"+286°45'55.5""","+2°41'47.9""",344691.058,4193564.245
2026-08-12 21:00:00,"+286°54'25.4""","+2°31'17.5""",344777.716,4193534.503
2026-08-12 21:01:00,"+287°02'55.8""","+2°20'50.2""",344876.758,4193500.486
2026-08-12 21:02:00,"+287°11'26.9""","+2°10'26.2""",344991.004,4193461.218
2026-08-12 21:03:00,"+287°19'58.5""","+2°00'05.7""",345124.201,4193415.403
2026-08-12 21:04:00,"+287°28'30.7""","+1°49'48.9""",345281.434,4193361.284
2026-08-12 21:05:00,"+287°37'03.5""","+1°39'36.3""",345469.683,4193296.442
2026-08-12 21:06:00,"+287°45'36.9""","+1°29'28.1""",345699.042,4193217.387
2026-08-12 21:07:00,"+287°54'10.9""","+1°19'24.7""",345984.404,4193118.963
2026-08-12 21:08:00,"+288°02'45.6""","+1°09'26.4""",346348.906,4192993.161
2026-08-12 21:09:00,"+288°11'20.9""","+0°59'33.5""",346830.458,4192826.865
2026-08-12 21:10:00,"+288°19'56.9""","+0°49'46.4""",347495.625,4192597.032
2026-08-12 21:11:00,"+288°28'33.5""","+0°40'05.2""",348473.854,4192258.869
2026-08-12 21:12:00,"+288°37'10.8""","+0°30'30.3""",350052.531,4191712.91
2026-08-12 21:13:00,"+288°45'48.7""","+0°21'01.5""",353030.325,4190682.771
2026-08-12 21:14:00,"+288°54'27.4""","+0°11'38.5""",360753.191,4188010.546
2026-08-12 21:15:00,"+289°03'06.7""","+0°02'20.9""",429232.282,4164313.179
2026-08-12 19:00:00,"+269°17'12.5""","+25°32'52.4""",343560.213,4193945.615
2026-08-12 19:01:00,"+269°26'28.2""","+25°21'02.6""",343561.373,4193945.277
2026-08-12 19:02:00,"+269°35'43.0""","+25°09'12.7""",343562.548,4193944.933
2026-08-12 19:03:00,"+269°44'56.8""","+24°57'22.9""",343563.74,4193944.583
2026-08-12 19:04:00,"+269°54'09.8""","+24°45'33.0""",343564.949,4193944.228
2026-08-12 19:05:00,"+270°03'21.9""","+24°33'43.2""",343566.175,4193943.867
2026-08-12 19:06:00,"+270°12'33.1""","+24°21'53.4""",343567.418,4193943.5
2026-08-12 19:07:00,"+270°21'43.5""","+24°10'03.6""",343568.68,4193943.127
2026-08-12 19:08:00,"+270°30'53.1""","+23°58'13.9""",343569.96,4193942.747
2026-08-12 19:09:00,"+270°40'01.8""","+23°46'24.1""",343571.259,4193942.361
2026-08-12 19:10:00,"+270°49'09.7""","+23°34'34.4""",343572.577,4193941.968
2026-08-12 19:11:00,"+270°58'16.9""","+23°22'44.8""",343573.915,4193941.568
2026-08-12 19:12:00,"+271°07'23.3""","+23°10'55.2""",343575.273,4193941.162
2026-08-12 19:13:00,"+271°16'29.0""","+22°59'05.7""",343576.653,4193940.748
2026-08-12 19:14:00,"+271°25'33.9""","+22°47'16.2""",343578.053,4193940.327
2026-08-12 19:15:00,"+271°34'38.1""","+22°35'26.8""",343579.476,4193939.898
2026-08-12 19:16:00,"+271°43'41.6""","+22°23'37.4""",343580.921,4193939.461
2026-08-12 19:17:00,"+271°52'44.5""","+22°11'48.2""",343582.389,4193939.017
2026-08-12 19:18:00,"+272°01'46.6""","+21°59'59.0""",343583.881,4193938.564
2026-08-12 19:19:00,"+272°10'48.2""","+21°48'09.9""",343585.397,4193938.103
2026-08-12 19:20:00,"+272°19'49.0""","+21°36'20.9""",343586.939,4193937.634
2026-08-12 19:21:00,"+272°28'49.3""","+21°24'32.0""",343588.505,4193937.156
2026-08-12 19:22:00,"+272°37'49.0""","+21°12'43.2""",343590.099,4193936.668
2026-08-12 19:23:00,"+272°46'48.0""","+21°00'54.5""",343591.719,4193936.171
2026-08-12 19:24:00,"+272°55'46.5""","+20°49'06.0""",343593.367,4193935.665
2026-08-12 19:25:00,"+273°04'44.5""","+20°37'17.5""",343595.044,4193935.149
2026-08-12 19:26:00,"+273°13'41.9""","+20°25'29.2""",343596.75,4193934.623
2026-08-12 19:27:00,"+273°22'38.7""","+20°13'41.0""",343598.486,4193934.086
2026-08-12 19:28:00,"+273°31'35.1""","+20°01'52.9""",343600.254,4193933.539
2026-08-12 19:29:00,"+273°40'30.9""","+19°50'05.0""",343602.053,4193932.981
2026-08-12 19:30:00,"+273°49'26.3""","+19°38'17.2""",343603.886,4193932.411
2026-08-12 19:31:00,"+273°58'21.2""","+19°26'29.6""",343605.752,4193931.83
2026-08-12 19:32:00,"+274°07'15.6""","+19°14'42.2""",343607.654,4193931.236
2026-08-12 19:33:00,"+274°16'09.6""","+19°02'54.9""",343609.591,4193930.63
2026-08-12 19:34:00,"+274°25'03.2""","+18°51'07.7""",343611.566,4193930.012
2026-08-12 19:35:00,"+274°33'56.4""","+18°39'20.8""",343613.579,4193929.38
2026-08-12 19:36:00,"+274°42'49.1""","+18°27'34.0""",343615.631,4193928.735
2026-08-12 19:37:00,"+274°51'41.5""","+18°15'47.4""",343617.724,4193928.076
2026-08-12 19:38:00,"+275°00'33.5""","+18°04'01.0""",343619.859,4193927.402
2026-08-12 19:39:00,"+275°09'25.2""","+17°52'14.8""",343622.037,4193926.714
2026-08-12 19:40:00,"+275°18'16.5""","+17°40'28.8""",343624.26,4193926.01
2026-08-12 19:41:00,"+275°27'07.4""","+17°28'43.0""",343626.53,4193925.29
2026-08-12 19:42:00,"+275°35'58.1""","+17°16'57.5""",343628.846,4193924.554
2026-08-12 19:43:00,"+275°44'48.5""","+17°05'12.1""",343631.213,4193923.801
2026-08-12 19:44:00,"+275°53'38.5""","+16°53'27.0""",343633.63,4193923.03
2026-08-12 19:45:00,"+276°02'28.3""","+16°41'42.1""",343636.1,4193922.241
2026-08-12 19:46:00,"+276°11'17.8""","+16°29'57.5""",343638.625,4193921.433
2026-08-12 19:47:00,"+276°20'07.1""","+16°18'13.1""",343641.206,4193920.606
2026-08-12 19:48:00,"+276°28'56.2""","+16°06'28.9""",343643.846,4193919.759
2026-08-12 19:49:00,"+276°37'45.0""","+15°54'45.0""",343646.546,4193918.891
2026-08-12 19:50:00,"+276°46'33.6""","+15°43'01.4""",343649.31,4193918.001
2026-08-12 19:51:00,"+276°55'22.0""","+15°31'18.0""",343652.138,4193917.089
2026-08-12 19:52:00,"+277°04'10.2""","+15°19'34.9""",343655.034,4193916.154
2026-08-12 19:53:00,"+277°12'58.3""","+15°07'52.1""",343658.0,4193915.195
2026-08-12 19:54:00,"+277°21'46.2""","+14°56'09.6""",343661.039,4193914.21
2026-08-12 19:55:00,"+277°30'34.0""","+14°44'27.3""",343664.153,4193913.2
2026-08-12 19:56:00,"+277°39'21.6""","+14°32'45.4""",343667.346,4193912.162
2026-08-12 19:57:00,"+277°48'09.1""","+14°21'03.8""",343670.621,4193911.097
2026-08-12 19:58:00,"+277°56'56.5""","+14°09'22.5""",343673.98,4193910.002
2026-08-12 19:59:00,"+278°05'43.8""","+13°57'41.5""",343677.428,4193908.877
2026-08-12 20:00:00,"+278°14'31.0""","+13°46'00.9""",343680.968,4193907.72
2026-08-12 20:01:00,"+278°23'18.1""","+13°34'20.6""",343684.604,4193906.53
2026-08-12 20:02:00,"+278°32'05.2""","+13°22'40.6""",343688.34,4193905.306
2026-08-12 20:03:00,"+278°40'52.3""","+13°11'01.0""",343692.18,4193904.045
