Azimut,Altitud_grados,Distancia_m,Cota_m
0.00000,3.53194,105.10,106.770
0.00500,3.53194,105.10,106.770
0.01000,3.53194,105.10,106.770
0.01500,3.53194,105.10,106.770
0.02000,3.53194,105.10,106.770
0.02500,3.53194,105.10,106.770
0.03000,3.53194,105.10,106.770
0.03500,3.53194,105.10,106.770
0.04000,3.53194,105.10,106.770
0.04500,3.53194,105.10,106.770
0.05000,3.53194,105.10,106.770
0.05500,3.53194,105.10,106.770
0.06000,3.53194,105.10,106.770
0.06500,3.53194,105.10,106.770
0.07000,3.53194,105.10,106.770
0.07500,3.53194,105.10,106.770
0.08000,3.53194,105.10,106.770
0.08500,3.53194,105.10,106.770
0.09000,3.53194,105.10,106.770
0.09500,3.53194,105.10,106.770
0.10000,3.53194,105.10,106.770
0.10500,3.53194,105.10,106.770
0.11000,3.53194,105.10,106.770
0.11500,3.53194,105.10,106.770
0.12000,3.53194,105.10,106.770
0.12500,3.53194,105.10,106.770
0.13000,3.53194,105.10,106.770
0.13500,3.53194,105.10,106.770
0.14000,3.53194,105.10,106.770
0.14500,3.53194,105.10,106.770
0.15000,3.53194,105.10,106.770
0.15500,3.53194,105.10,106.770
0.16000,3.53194,105.10,106.770
0.16500,3.53194,105.10,106.770
0.17000,3.53194,105.10,106.770
0.17500,3.53194,105.10,106.770
0.18000,3.53194,105.10,106.770
0.18500,3.53194,105.10,106.770
0.19000,3.53194,105.10,106.770
0.19500,3.53194,105.10,106.770
0.20000,3.53194,105.10,106.770
0.20500,3.53194,105.10,106.770
0.21000,3.53194,105.10,106.770
0.21500,3.53194,105.10,106.770
0.22000,3.53194,105.10,106.770
0.22500,3.53194,105.10,106.770
0.23000,3.53194,105.10,106.770
0.23500,3.53194,105.10,106.770
0.24000,3.53194,105.10,106.770
0.24500,3.53194,105.10,106.770
0.25000,3.53194,105.10,106.770
0.25500,3.53194,105.10,106.770
0.26000,3.53194,105.10,106.770
0.26500,3.53194,105.10,106.770
0.27000,3.53194,105.10,106.770
0.27500,3.36946,104.10,106.412
0.28000,3.30026,109.60,106.603
0.28500,3.30026,109.60,106.603
0.29000,3.30026,109.60,106.603
0.29500,3.30026,109.60,106.603
0.30000,3.30026,109.60,106.603
0.30500,3.30026,109.60,106.603
0.31000,3.30026,109.60,106.603
0.31500,3.30026,109.60,106.603
0.32000,3.30026,109.60,106.603
0.32500,3.30026,109.60,106.603
0.33000,3.30026,109.60,106.603
0.33500,3.30026,109.60,106.603
0.34000,3.30026,109.60,106.603
0.34500,3.30026,109.60,106.603
0.35000,3.30026,109.60,106.603
0.35500,3.30026,109.60,106.603
0.36000,3.30026,109.60,106.603
0.36500,3.30026,109.60,106.603
0.37000,3.30026,109.60,106.603
0.37500,3.30026,109.60,106.603
0.38000,3.30026,109.60,106.603
0.38500,3.30026,109.60,106.603
0.39000,3.30026,109.60,106.603
0.39500,3.30026,109.60,106.603
0.40000,3.30026,109.60,106.603
0.40500,3.30026,109.60,106.603
0.41000,3.30026,109.60,106.603
0.41500,3.30026,109.60,106.603
0.42000,3.30026,109.60,106.603
0.42500,3.30026,109.60,106.603
0.43000,3.30026,109.60,106.603
0.43500,3.30026,109.60,106.603
0.44000,3.30026,109.60,106.603
0.44500,3.30026,109.60,106.603
0.45000,3.30026,109.60,106.603
0.45500,3.30026,109.60,106.603
0.46000,3.30026,109.60,106.603
0.46500,3.30026,109.60,106.603
0.47000,3.30026,109.60,106.603
0.47500,3.30026,109.60,106.603
0.48000,3.30026,109.60,106.603
0.48500,3.30026,109.60,106.603
0.49000,3.30026,109.60,106.603
0.49500,3.30026,109.60,106.603
0.50000,3.30026,109.60,106.603
0.50500,3.30026,109.60,106.603
0.51000,3.30026,109.60,106.603
0.51500,3.30026,109.60,106.603
0.52000,3.30026,109.60,106.603
0.52500,3.30026,109.60,106.603
0.53000,3.30026,109.60,106.603
0.53500,3.30026,109.60,106.603
0.54000,3.30026,109.60,106.603
0.54500,3.30026,109.60,106.603
0.55000,3.30026,109.60,106.603
0.55500,3.30026,109.60,106.603
0.56000,3.30026,109.60,106.603
0.56500,3.30026,109.60,106.603
0.57000,3.30026,109.60,106.603
0.57500,3.30026,109.60,106.603
0.58000,3.30026,109.60,106.603
0.58500,3.30026,109.60,106.603
0.59000,3.30026,109.60,106.603
0.59500,3.30026,109.60,106.603
0.60000,3.30026,109.60,106.603
0.60500,3.30026,109.60,106.603
0.61000,3.30026,109.60,106.603
0.61500,3.30026,109.60,106.603
0.62000,3.30026,109.60,106.603
0.62500,3.30026,109.60,106.603
0.63000,3.30026,109.60,106.603
0.63500,3.30026,109.60,106.603
0.64000,3.30026,109.60,106.603
0.64500,3.30026,109.60,106.603
0.65000,3.30026,109.60,106.603
0.65500,3.30026,109.60,106.603
0.66000,3.30026,109.60,106.603
0.66500,3.30026,109.60,106.603
0.67000,3.30026,109.60,106.603
0.67500,3.30026,109.60,106.603
0.68000,3.30026,109.60,106.603
0.68500,3.30026,109.60,106.603
0.69000,3.30026,109.60,106.603
0.69500,3.30026,109.60,106.603
0.70000,3.30026,109.60,106.603
0.70500,3.30026,109.60,106.603
0.71000,3.30026,109.60,106.603
0.71500,3.30026,109.60,106.603
0.72000,3.30026,109.60,106.603
0.72500,3.30026,109.60,106.603
0.73000,3.30026,109.60,106.603
0.73500,3.30026,109.60,106.603
0.74000,3.30026,109.60,106.603
0.74500,3.30026,109.60,106.603
0.75000,3.30026,109.60,106.603
0.75500,3.30026,109.60,106.603
0.76000,3.30026,109.60,106.603
0.76500,3.30026,109.60,106.603
0.77000,3.30026,109.60,106.603
0.77500,3.30026,109.60,106.603
0.78000,3.30026,109.60,106.603
0.78500,3.30026,109.60,106.603
0.79000,3.30026,109.60,106.603
0.79500,3.30026,109.60,106.603
0.80000,3.30026,109.60,106.603
0.80500,3.30026,109.60,106.603
0.81000,3.30026,109.60,106.603
0.81500,3.30026,109.60,106.603
0.82000,3.30026,109.60,106.603
0.82500,3.30026,109.60,106.603
0.83000,3.30026,109.60,106.603
0.83500,3.30026,109.60,106.603
0.84000,3.30026,109.60,106.603
0.84500,3.30026,109.60,106.603
0.85000,3.30026,109.60,106.603
0.85500,3.30026,109.60,106.603
0.86000,3.30026,109.60,106.603
0.86500,3.30026,109.60,106.603
0.87000,3.30026,109.60,106.603
0.87500,3.30026,109.60,106.603
0.88000,3.30026,109.60,106.603
0.88500,3.30026,109.60,106.603
0.89000,3.30026,109.60,106.603
0.89500,3.30026,109.60,106.603
0.90000,3.30026,109.60,106.603
0.90500,3.30026,109.60,106.603
0.91000,3.30026,109.60,106.603
0.91500,3.30026,109.60,106.603
0.92000,3.30026,109.60,106.603
0.92500,3.30026,109.60,106.603
0.93000,3.30026,109.60,106.603
0.93500,3.30026,109.60,106.603
0.94000,3.30026,109.60,106.603
0.94500,3.30026,109.60,106.603
0.95000,3.30026,109.60,106.603
0.95500,3.30026,109.60,106.603
0.96000,3.30026,109.60,106.603
0.96500,3.30026,109.60,106.603
0.97000,3.30026,109.60,106.603
0.97500,3.30026,109.60,106.603
0.98000,3.30026,109.60,106.603
0.98500,3.30026,109.60,106.603
0.99000,3.30026,109.60,106.603
0.99500,3.30026,109.60,106.603
1.00000,3.30026,109.60,106.603
1.00500,3.30026,109.60,106.603
1.01000,3.30026,109.60,106.603
1.01500,3.30026,109.60,106.603
1.02000,3.30026,109.60,106.603
1.02500,3.30026,109.60,106.603
1.03000,3.30026,109.60,106.603
1.03500,3.30026,109.60,106.603
1.04000,3.30026,109.60,106.603
1.04500,3.30026,109.60,106.603
1.05000,3.28656,109.10,106.548
1.05500,3.14810,108.60,106.256
1.06000,3.15971,108.20,106.256
1.06500,3.16263,108.10,106.256
1.07000,3.16263,108.10,106.256
1.07500,3.16263,108.10,106.256
1.08000,3.16263,108.10,106.256
1.08500,3.16263,108.10,106.256
1.09000,3.16263,108.10,106.256
1.09500,3.16263,108.10,106.256
1.10000,3.16263,108.10,106.256
1.10500,3.16263,108.10,106.256
1.11000,3.16263,108.10,106.256
1.11500,3.16263,108.10,106.256
1.12000,3.16263,108.10,106.256
1.12500,3.16263,108.10,106.256
1.13000,3.16263,108.10,106.256
1.13500,3.16263,108.10,106.256
1.14000,3.16263,108.10,106.256
1.14500,3.16263,108.10,106.256
1.15000,3.16263,108.10,106.256
1.15500,3.16263,108.10,106.256
1.16000,3.16263,108.10,106.256
1.16500,3.16263,108.10,106.256
1.17000,3.16263,108.10,106.256
1.17500,3.16263,108.10,106.256
1.18000,3.16263,108.10,106.256
1.18500,3.16263,108.10,106.256
1.19000,3.16263,108.10,106.256
1.19500,3.16263,108.10,106.256
1.20000,3.16263,108.10,106.256
1.20500,3.16263,108.10,106.256
1.21000,3.16263,108.10,106.256
1.21500,3.16263,108.10,106.256
1.22000,3.16263,108.10,106.256
1.22500,3.16263,108.10,106.256
1.23000,3.16263,108.10,106.256
1.23500,3.16263,108.10,106.256
1.24000,3.16263,108.10,106.256
1.24500,3.16263,108.10,106.256
1.25000,3.16263,108.10,106.256
1.25500,3.16263,108.10,106.256
1.26000,3.16263,108.10,106.256
1.26500,3.16263,108.10,106.256
1.27000,3.16263,108.10,106.256
1.27500,3.16263,108.10,106.256
1.28000,3.16263,108.10,106.256
1.28500,3.16263,108.10,106.256
1.29000,3.16263,108.10,106.256
1.29500,3.16263,108.10,106.256
1.30000,3.16263,108.10,106.256
1.30500,3.16263,108.10,106.256
1.31000,3.16263,108.10,106.256
1.31500,3.16263,108.10,106.256
1.32000,3.16263,108.10,106.256
1.32500,3.16263,108.10,106.256
1.33000,3.14810,108.60,106.256
1.33500,3.14810,108.60,106.256
1.34000,3.14810,108.60,106.256
1.34500,3.14810,108.60,106.256
1.35000,3.14810,108.60,106.256
1.35500,3.14810,108.60,106.256
1.36000,3.14810,108.60,106.256
1.36500,3.14810,108.60,106.256
1.37000,3.14810,108.60,106.256
1.37500,3.14810,108.60,106.256
1.38000,3.14810,108.60,106.256
1.38500,3.14810,108.60,106.256
1.39000,3.14810,108.60,106.256
1.39500,3.14810,108.60,106.256
1.40000,3.14810,108.60,106.256
1.40500,3.14810,108.60,106.256
1.41000,3.14810,108.60,106.256
1.41500,3.14810,108.60,106.256
1.42000,3.14810,108.60,106.256
1.42500,3.14810,108.60,106.256
1.43000,3.14810,108.60,106.256
1.43500,3.14810,108.60,106.256
1.44000,3.14810,108.60,106.256
1.44500,3.14810,108.60,106.256
1.45000,3.14810,108.60,106.256
1.45500,3.14810,108.60,106.256
1.46000,3.14810,108.60,106.256
1.46500,3.14810,108.60,106.256
1.47000,3.14810,108.60,106.256
1.47500,3.14810,108.60,106.256
1.48000,3.14810,108.60,106.256
1.48500,3.14810,108.60,106.256
1.49000,3.14810,108.60,106.256
1.49500,3.14810,108.60,106.256
1.50000,3.14810,108.60,106.256
1.50500,3.14810,108.60,106.256
1.51000,3.14810,108.60,106.256
1.51500,3.14810,108.60,106.256
1.52000,3.14810,108.60,106.256
1.52500,3.14810,108.60,106.256
1.53000,3.14810,108.60,106.256
1.53500,3.14810,108.60,106.256
1.54000,3.14810,108.60,106.256
1.54500,3.14810,108.60,106.256
1.55000,3.14810,108.60,106.256
1.55500,3.14810,108.60,106.256
1.56000,3.14810,108.60,106.256
1.56500,3.14810,108.60,106.256
1.57000,3.14810,108.60,106.256
1.57500,3.14810,108.60,106.256
1.58000,3.14810,108.60,106.256
1.58500,3.01148,108.10,105.970
1.59000,3.01148,108.10,105.970
1.59500,2.96765,108.60,105.913
1.60000,2.96765,108.60,105.913
1.60500,2.96765,108.60,105.913
1.61000,2.96765,108.60,105.913
1.61500,2.96765,108.60,105.913
1.62000,2.96765,108.60,105.913
1.62500,2.96765,108.60,105.913
1.63000,2.96765,108.60,105.913
1.63500,2.96765,108.60,105.913
1.64000,2.96765,108.60,105.913
1.64500,2.96765,108.60,105.913
1.65000,2.96765,108.60,105.913
1.65500,2.96765,108.60,105.913
1.66000,2.96765,108.60,105.913
1.66500,2.96765,108.60,105.913
1.67000,2.96765,108.60,105.913
1.67500,2.96765,108.60,105.913
1.68000,2.96765,108.60,105.913
1.68500,2.96765,108.60,105.913
1.69000,2.96765,108.60,105.913
1.69500,2.96765,108.60,105.913
1.70000,2.96765,108.60,105.913
1.70500,2.96765,108.60,105.913
1.71000,2.96765,108.60,105.913
1.71500,2.96765,108.60,105.913
1.72000,2.96765,108.60,105.913
