Fecha y hora,Azimut,Altitud,Observer_X,Observer_Y,Distancia_Target_m,FOV_H_grados,FOV_V_grados,Cobertura_Horizontal_m,Cobertura_Vertical_m
2026-08-12 18:36:00,"+265°29'25.3""","+30°16'40.8""",343536.0890499927,4193951.938236994,105.45,4.4668,6.7245,8.23,12.39
2026-08-12 18:37:00,"+265°39'09.1""","+30°04'52.8""",343536.94589477417,4193951.7040555794,106.29,4.4668,6.7245,8.29,12.49
2026-08-12 18:38:00,"+265°48'51.6""","+29°53'04.6""",343537.8123827963,4193951.466508314,107.13,4.4668,6.7245,8.36,12.59
2026-08-12 18:39:00,"+265°58'32.6""","+29°41'16.3""",343538.6885837327,4193951.2256367463,107.99,4.4668,6.7245,8.42,12.69
2026-08-12 18:40:00,"+266°08'12.2""","+29°29'27.9""",343539.57470122306,4193950.98133561,108.86,4.4668,6.7245,8.49,12.79
2026-08-12 18:41:00,"+266°17'50.6""","+29°17'39.4""",343540.47094736336,4193950.7334433002,109.73,4.4668,6.7245,8.56,12.89
2026-08-12 18:42:00,"+266°27'27.6""","+29°05'50.7""",343541.3776516722,4193950.482015021,110.62,4.4668,6.7245,8.63,13.0
2026-08-12 18:43:00,"+266°37'03.3""","+28°54'02.0""",343542.2947837479,4193950.22692225,111.52,4.4668,6.7245,8.7,13.1
2026-08-12 18:44:00,"+266°46'37.7""","+28°42'13.1""",343543.2228196607,4193949.9681185633,112.44,4.4668,6.7245,8.77,13.21
2026-08-12 18:45:00,"+266°56'10.9""","+28°30'24.1""",343544.1618652108,4193949.7054777215,113.36,4.4668,6.7245,8.84,13.32
2026-08-12 18:46:00,"+267°05'42.8""","+28°18'35.1""",343545.1120199932,4193949.438981534,114.29,4.4668,6.7245,8.91,13.43
2026-08-12 18:47:00,"+267°15'13.5""","+28°06'45.9""",343546.073792105,4193949.1685205637,115.24,4.4668,6.7245,8.99,13.54
2026-08-12 18:48:00,"+267°24'43.0""","+27°54'56.7""",343547.04716327944,4193948.894010883,116.2,4.4668,6.7245,9.06,13.65
2026-08-12 18:49:00,"+267°34'11.4""","+27°43'07.4""",343548.0325241874,4193948.6153296037,117.17,4.4668,6.7245,9.14,13.77
2026-08-12 18:50:00,"+267°43'38.6""","+27°31'18.0""",343549.0301353215,4193948.3324574814,118.16,4.4668,6.7245,9.22,13.88
2026-08-12 18:51:00,"+267°53'04.6""","+27°19'28.5""",343550.0402675808,4193948.045317209,119.16,4.4668,6.7245,9.29,14.0
2026-08-12 18:52:00,"+268°02'29.6""","+27°07'39.0""",343551.0630603809,4193947.753707782,120.17,4.4668,6.7245,9.37,14.12
2026-08-12 18:53:00,"+268°11'53.4""","+26°55'49.4""",343552.09893594065,4193947.457667137,121.19,4.4668,6.7245,9.45,14.24
2026-08-12 18:54:00,"+268°21'16.2""","+26°43'59.8""",343553.14804591367,4193947.1569879637,122.23,4.4668,6.7245,9.53,14.36
2026-08-12 18:55:00,"+268°30'37.9""","+26°32'10.2""",343554.21068634046,4193946.851640754,123.29,4.4668,6.7245,9.62,14.49
2026-08-12 18:56:00,"+268°39'58.5""","+26°20'20.5""",343555.2873158204,4193946.5415386073,124.36,4.4668,6.7245,9.7,14.61
2026-08-12 18:57:00,"+268°49'18.1""","+26°08'30.8""",343556.3781046359,4193946.226523232,125.44,4.4668,6.7245,9.78,14.74
2026-08-12 18:58:00,"+268°58'36.8""","+25°56'41.0""",343557.48353548534,4193945.9064383092,126.54,4.4668,6.7245,9.87,14.87
2026-08-12 18:59:00,"+269°07'54.4""","+25°44'51.3""",343558.603632157,4193945.5812991885,127.65,4.4668,6.7245,9.96,15.0
2026-08-12 19:00:00,"+269°17'11.1""","+25°33'01.5""",343559.7390569927,4193945.2508837944,128.78,4.4668,6.7245,10.05,15.13
2026-08-12 19:01:00,"+269°26'26.8""","+25°21'11.7""",343560.8900101077,4193944.9151433213,129.93,4.4668,6.7245,10.13,15.27
2026-08-12 19:02:00,"+269°35'41.6""","+25°09'21.9""",343562.0568603317,4193944.5739034237,131.1,4.4668,6.7245,10.23,15.4
2026-08-12 19:03:00,"+269°44'55.5""","+24°57'32.1""",343563.2399872408,4193944.2270480217,132.28,4.4668,6.7245,10.32,15.54
2026-08-12 19:04:00,"+269°54'08.4""","+24°45'42.3""",343564.43978244986,4193943.874521989,133.47,4.4668,6.7245,10.41,15.68
2026-08-12 19:05:00,"+270°03'20.5""","+24°33'52.6""",343565.6564780047,4193943.516072915,134.69,4.4668,6.7245,10.51,15.83
2026-08-12 19:06:00,"+270°12'31.8""","+24°22'02.8""",343566.890833679,4193943.151571351,135.93,4.4668,6.7245,10.6,15.97
2026-08-12 19:07:00,"+270°21'42.1""","+24°10'13.1""",343568.1429327862,4193942.7810172746,137.18,4.4668,6.7245,10.7,16.12
2026-08-12 19:08:00,"+270°30'51.7""","+23°58'23.4""",343569.4133920036,4193942.404074562,138.45,4.4668,6.7245,10.8,16.27
2026-08-12 19:09:00,"+270°40'00.4""","+23°46'33.7""",343570.70267185505,4193942.020733955,139.75,4.4668,6.7245,10.9,16.42
